2026-05-22 08:31:41 | INFO     | rag.rag_pipeline | Ingested 'Riego y Fertilización Inteligente Ante proyecto.docx' → 15 chunks
2026-05-22 08:31:41 | INFO     | ui.upload_interface | Ingested document: Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 08:35:55 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:35:56 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:36:00 | INFO     | vision.image_captioning | LLM caption generated (521 chars)
2026-05-22 08:36:18 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:36:18 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:36:23 | INFO     | vision.image_captioning | LLM caption generated (641 chars)
2026-05-22 08:36:59 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:36:59 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:37:07 | INFO     | vision.image_captioning | LLM caption generated (590 chars)
2026-05-22 08:37:08 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:37:08 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 08:37:08 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 08:37:20 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:37:20 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:37:23 | INFO     | vision.image_captioning | LLM caption generated (504 chars)
2026-05-22 08:37:51 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:37:51 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:38:06 | INFO     | vision.image_captioning | LLM caption generated (690 chars)
2026-05-22 08:38:07 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:38:07 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 08:38:07 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 08:38:16 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:38:16 | WARNING  | vision.ocr_engine | [OCR unavailable] pytesseract is not installed or Tesseract binary is missing. Install tesseract-ocr and pytesseract.
2026-05-22 08:38:32 | INFO     | vision.image_captioning | LLM caption generated (999 chars)
2026-05-22 08:41:44 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 08:41:47 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 08:41:47 | INFO     | memory.memory_manager | MemoryManager created: session=dd95069a-aebe-4c4f-8b69-554d6cf7ec13
2026-05-22 08:41:47 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 08:41:50 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 08:42:12 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 08:42:53 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:42:54 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:42:56 | INFO     | vision.image_captioning | LLM caption generated (552 chars)
2026-05-22 08:44:23 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:44:24 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:44:34 | INFO     | vision.image_captioning | LLM caption generated (704 chars)
2026-05-22 08:44:41 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:44:42 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:44:46 | INFO     | vision.image_captioning | LLM caption generated (687 chars)
2026-05-22 08:46:32 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:46:33 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:46:49 | INFO     | vision.image_captioning | LLM caption generated (828 chars)
2026-05-22 08:47:13 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:47:13 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:47:18 | INFO     | vision.image_captioning | LLM caption generated (624 chars)
2026-05-22 08:47:19 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 08:47:19 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 08:47:19 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 08:47:27 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:47:28 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 08:47:44 | INFO     | vision.image_captioning | LLM caption generated (741 chars)
2026-05-22 09:13:21 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 09:13:25 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 09:13:25 | INFO     | memory.memory_manager | MemoryManager created: session=7f1d31cc-cef3-4c50-9e71-cca0ce9104eb
2026-05-22 09:13:25 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 09:13:31 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 09:13:55 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 09:14:52 | INFO     | tools.report_tool | PDF generado: 4376 bytes
2026-05-22 09:17:29 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 09:17:29 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 09:17:36 | INFO     | vision.image_captioning | LLM caption generated (686 chars)
2026-05-22 09:18:08 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 09:18:08 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 09:18:19 | INFO     | vision.image_captioning | LLM caption generated (870 chars)
2026-05-22 09:18:19 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 09:18:19 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 09:18:19 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 09:18:23 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 09:18:23 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 09:18:28 | INFO     | vision.image_captioning | LLM caption generated (661 chars)
2026-05-22 09:19:39 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 09:19:39 | INFO     | agents.research_agent | ResearchAgent initialised
2026-05-22 09:19:39 | INFO     | agents.agent_manager | Created agent: research
2026-05-22 09:20:32 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 09:20:32 | INFO     | agents.research_agent | ResearchAgent initialised
2026-05-22 09:20:32 | INFO     | agents.agent_manager | Created agent: research
2026-05-22 09:20:35 | INFO     | tools.report_tool | PDF generado: 2021 bytes
2026-05-22 09:39:54 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 09:39:57 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 09:39:57 | INFO     | memory.memory_manager | MemoryManager created: session=4b200d41-fc6e-403c-b293-facc7549e4e3
2026-05-22 09:39:57 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 09:40:00 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 09:49:06 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 09:49:28 | INFO     | rag.document_loader | Loading document: Riego y Fertilización Inteligente Ante proyecto.docx (type=docx)
2026-05-22 09:49:29 | INFO     | rag.document_loader | Loaded 1 chunks from Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 09:49:29 | INFO     | rag.splitter | Split 1 docs → 15 chunks
2026-05-22 09:49:33 | INFO     | embeddings.embedding_manager | Using ChromaDB default embeddings (fallback)
2026-05-22 09:49:34 | INFO     | vectorstore.chroma_manager | ChromaDB store created/loaded from campusmind_data\chroma
2026-05-22 09:49:38 | INFO     | vectorstore.chroma_manager | Added 15 documents to ChromaDB
2026-05-22 09:49:38 | INFO     | rag.rag_pipeline | Ingested 'Riego y Fertilización Inteligente Ante proyecto.docx' → 15 chunks
2026-05-22 09:49:38 | INFO     | ui.upload_interface | Ingested document: Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 09:50:37 | INFO     | tools.report_tool | PDF generado: 4320 bytes
2026-05-22 16:40:09 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 16:40:13 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 16:40:13 | INFO     | memory.memory_manager | MemoryManager created: session=57d6d155-6a27-43d1-9708-4ecfdb9b8a4c
2026-05-22 16:40:13 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 16:40:16 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 16:40:55 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 16:42:08 | INFO     | tools.report_tool | PDF generado: 7143 bytes
2026-05-22 17:40:45 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 17:40:53 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 17:40:54 | INFO     | memory.memory_manager | MemoryManager created: session=207cc296-623d-499b-ab98-864107cecfd2
2026-05-22 17:40:54 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 17:41:11 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 17:41:24 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 17:41:57 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:41:58 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:02 | INFO     | vision.image_captioning | LLM caption generated (716 chars)
2026-05-22 17:42:12 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:12 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:16 | INFO     | vision.image_captioning | LLM caption generated (652 chars)
2026-05-22 17:42:38 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:38 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:42 | INFO     | vision.image_captioning | LLM caption generated (805 chars)
2026-05-22 17:42:43 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 17:42:43 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 17:42:43 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 17:42:47 | INFO     | agents.vision_agent | VisionAgent: multimodal response generated
2026-05-22 17:42:48 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:48 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:42:52 | INFO     | vision.image_captioning | LLM caption generated (793 chars)
2026-05-22 17:53:58 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 17:54:01 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 17:54:01 | INFO     | memory.memory_manager | MemoryManager created: session=e620f606-1d42-4417-bfc1-b8fd411d12bd
2026-05-22 17:54:01 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 17:54:04 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 17:54:11 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 17:54:26 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:54:26 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:54:28 | INFO     | vision.image_captioning | LLM caption generated (685 chars)
2026-05-22 17:55:02 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:55:03 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:55:05 | INFO     | vision.image_captioning | LLM caption generated (834 chars)
2026-05-22 17:55:06 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 17:55:06 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 17:55:06 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 17:55:15 | INFO     | agents.vision_agent | VisionAgent: multimodal response generated
2026-05-22 17:55:15 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:55:15 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:55:18 | INFO     | vision.image_captioning | LLM caption generated (678 chars)
2026-05-22 17:56:32 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:56:32 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:56:35 | INFO     | vision.image_captioning | LLM caption generated (711 chars)
2026-05-22 17:56:35 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 17:56:35 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 17:56:35 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 17:56:47 | INFO     | agents.vision_agent | VisionAgent: multimodal response generated
2026-05-22 17:56:48 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:56:48 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 17:56:50 | INFO     | vision.image_captioning | LLM caption generated (708 chars)
2026-05-22 18:00:03 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:00:03 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:00:06 | INFO     | vision.image_captioning | LLM caption generated (539 chars)
